internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
166118,Squalidus argentatus,"Gobio  hsui Wu & Wang, 1931",Gobio ,hsui,"Wu & Wang, 1931",,
166118,Squalidus argentatus,"Squalidus  chankaensis  Dybowski, 1872 ssp. argentatus (Sauvage & Dabry de Thiersant, 1874)",Squalidus ,chankaensis ,"Dybowski, 1872",subspecies,"(Sauvage & Dabry de Thiersant, 1874)"
166132,Gobiobotia meridionalis,"Gobiobotia  longibarba  Chen & Cao, 1977 ssp. meridionalis Chen & Cao, 1977",Gobiobotia ,longibarba ,"Chen & Cao, 1977",subspecies,"Chen & Cao, 1977"
166159,Siniperca scherzeri,"Siniperca  aequiformis Tanaka, 1925",Siniperca ,aequiformis,"Tanaka, 1925",,
166159,Siniperca scherzeri,"Siniperca  chieni Fang & Chong, 1932",Siniperca ,chieni,"Fang & Chong, 1932",,
166159,Siniperca scherzeri,"Siniperca chui Fang & Chong, 1932",Siniperca,chui,"Fang & Chong, 1932",,
166159,Siniperca scherzeri,"Siniperca  kwangsiensis Fang & Chong, 1932",Siniperca ,kwangsiensis,"Fang & Chong, 1932",,
166159,Siniperca scherzeri,"Siniperca  paichuanensis Fu, 1934",Siniperca ,paichuanensis,"Fu, 1934",,
166159,Siniperca scherzeri,"Siniperca  szechuanensis Shih, 1937",Siniperca ,szechuanensis,"Shih, 1937",,
166159,Siniperca scherzeri,"Siniperca  scherzeri  Steindachner, 1892 ssp. kichuani Shih, 1937",Siniperca ,scherzeri ,"Steindachner, 1892",subspecies,"Shih, 1937"
166159,Siniperca scherzeri,"Siniperca  scherzeri  Steindachner, 1892 ssp. chui Fang & Chong, 1932",Siniperca ,scherzeri ,"Steindachner, 1892",subspecies,"Fang & Chong, 1932"
166159,Siniperca scherzeri,"Siniperca  scherzeri  Steindachner, 1892 ssp. kwangsiensis Fang & Chong, 1932",Siniperca ,scherzeri ,"Steindachner, 1892",subspecies,"Fang & Chong, 1932"
166161,Garra imberba,"Discognathus pingi Tchang, 1929",Discognathus,pingi,"Tchang, 1929",,
166161,Garra imberba,"Garra alticorpora Chu & Cui, 1987",Garra,alticorpora,"Chu & Cui, 1987",,
166161,Garra imberba,"Garra pingi (Tchang, 1929)",Garra,pingi,"(Tchang, 1929)",,
166161,Garra imberba,"Garra pingi (Tchang, 1929) ssp. pingi (Tchang, 1929)",Garra,pingi,"(Tchang, 1929)",subspecies,"(Tchang, 1929)"
166172,Hypophthalmichthys nobilis,"Aristichthys  nobilis  (Richardson, 1845)",Aristichthys ,nobilis," (Richardson, 1845)",,
166172,Hypophthalmichthys nobilis,"Hypophthalmichthys  mantschuricu Kner, 1867",Hypophthalmichthys, mantschuricu,"Kner, 1867",,
166172,Hypophthalmichthys nobilis,"Leuciscus  nobilis Richardson, 1845",Leuciscus ,nobilis,"Richardson, 1845",,
166181,Hemibagrus guttatus,"Mystus guttatus (Lacepède, 1803)",Mystus,guttatus,"(Lacepède, 1803)",,
166181,Hemibagrus guttatus,"Macrones elongatus Günther, 1864",Macrones,elongatus,"Günther, 1864",,
166191,Procypris mera,"Procypris merus  Lin, 1933",Procypris,merus ,"Lin, 1933",,
