assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
2457692,196440,Hippichthys albomaculosus,ANIMALIA,CHORDATA,SYNGNATHIFORMES,ACTINOPTERYGII,SYNGNATHIDAE,Hippichthys,albomaculosus,,,,"Jenkins &amp; Mailautoka, 2010",Data Deficient,,3.1,Unknown,Global
2457809,196443,Microphis cruentus,ANIMALIA,CHORDATA,SYNGNATHIFORMES,ACTINOPTERYGII,SYNGNATHIDAE,Microphis,cruentus,,,,"Dawson &amp; Fourmanoir, 1981",Data Deficient,,3.1,Unknown,Global
2463355,196587,Perochirus guentheri,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,GEKKONIDAE,Perochirus,guentheri,,,,"Boulenger, 1885",Data Deficient,,3.1,Unknown,Global
2465904,196609,Emoia mivarti,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Emoia,mivarti,,,,"(Boulenger, 1887)",Data Deficient,,3.1,Stable,Global
2469193,196636,Sphenomorphus fragosus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Sphenomorphus,fragosus,,,,"Greer &amp; Parker, 1967",Data Deficient,,3.1,Unknown,Global
2469997,196643,Sphenomorphus taylori,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Sphenomorphus,taylori,,,,"Burt, 1930",Data Deficient,,3.1,Unknown,Global
2470096,196644,Sphenomorphus transversus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Sphenomorphus,transversus,,,,"Greer &amp; Parker, 1971",Data Deficient,,3.1,Unknown,Global
2470493,196647,Tribolonotus annectens,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Tribolonotus,annectens,,,,"Zweifel, 1966",Data Deficient,,3.1,Unknown,Global
2470624,196648,Tribolonotus brongersmai,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,SCINCIDAE,Tribolonotus,brongersmai,,,,"Cogger, 1973",Data Deficient,,3.1,Unknown,Global
2470970,196651,Acutotyphlops infralabialis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,TYPHLOPIDAE,Acutotyphlops,infralabialis,,,,"(Waite, 1918)",Data Deficient,,3.1,Unknown,Global
2471065,196652,Acutotyphlops kunuaensis,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,TYPHLOPIDAE,Acutotyphlops,kunuaensis,,,,"Wallach, 1995",Data Deficient,,3.1,Unknown,Global
2471439,196656,Ramphotyphlops angusticeps,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,TYPHLOPIDAE,Ramphotyphlops,angusticeps,,,,"(Peters, 1877)",Data Deficient,,3.1,Unknown,Global
2471536,196657,Ramphotyphlops becki,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,TYPHLOPIDAE,Ramphotyphlops,becki,,,,"(Tanner, 1948)",Data Deficient,,3.1,Unknown,Global
2471744,196659,Ramphotyphlops mansuetus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,TYPHLOPIDAE,Ramphotyphlops,mansuetus,,,,"(Barbour, 1921)",Data Deficient,,3.1,Unknown,Global
2472201,196663,Palaina chrysalis,ANIMALIA,MOLLUSCA,ARCHITAENIOGLOSSA,GASTROPODA,DIPLOMMATINIDAE,Palaina,chrysalis,,,,"(Mollendorff, 1887)",Data Deficient,,3.1,Unknown,Global
2473491,196682,Oneirodes bradburyae,ANIMALIA,CHORDATA,LOPHIIFORMES,ACTINOPTERYGII,ONEIRODIDAE,Oneirodes,bradburyae,,,,"Grey, 1956",Data Deficient,,3.1,Unknown,Global
2473733,196684,Parasaccogaster rhamphidognatha,ANIMALIA,CHORDATA,OPHIDIIFORMES,ACTINOPTERYGII,BYTHITIDAE,Parasaccogaster,rhamphidognatha,,,,"(Cohen, 1987)",Data Deficient,,3.1,Unknown,Global
2474979,196697,Eustomias leptobolus,ANIMALIA,CHORDATA,STOMIIFORMES,ACTINOPTERYGII,STOMIIDAE,Eustomias,leptobolus,,,,"Regan &amp; Trewavas, 1930",Data Deficient,,3.1,Unknown,Global
2475371,196711,Secozomus latipes,ANIMALIA,ARTHROPODA,SCHIZOMIDA,ARACHNIDA,HUBBARDIIDAE,Secozomus,latipes,,,,"Harvey, 2001",Data Deficient,,3.1,Unknown,Global
2476387,196792,Arius dispar,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,ARIIDAE,Arius,dispar,,,,"Herre, 1926",Data Deficient,,3.1,Unknown,Global
2476461,196798,Arius manillensis,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,ARIIDAE,Arius,manillensis,,,,"Valenciennes, 1840",Data Deficient,,3.1,Unknown,Global
2476992,196819,Cathorops belizensis,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,ARIIDAE,Cathorops,belizensis,,,,"Marceniuk &amp; Betancur-R., 2008",Data Deficient,,3.1,Unknown,Global & Caribbean
2477333,196833,Cinetodus carinatus,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,ARIIDAE,Cinetodus,carinatus,,,,"(Weber, 1913)",Data Deficient,,3.1,Unknown,Global
2477628,196855,Doiichthys novaeguineae,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,ARIIDAE,Doiichthys,novaeguineae,,,,"Weber, 1913",Data Deficient,,3.1,Unknown,Global
2477677,196863,Neoarius coatesi,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,ARIIDAE,Neoarius,coatesi,,,,"(Kailola, 1990)",Data Deficient,,3.1,Decreasing,Global
